"Predictor","Estimate","Std_Error","Z_Value","P_Value"
"(Intercept)",-5.54024708659092,1.23600552056369,-4.48238053505152,7.38149664950388e-06
"raceBlack",0.479612947265538,0.160432246432778,2.98950465339584,0.00279430191239087
"raceOther",-0.428842809938503,0.200869918504674,-2.13492798290016,0.0327668931791162
"marital_statusMarried",-0.225739350456909,0.139853179997094,-1.61411667908874,0.106502120228698
"marital_statusSeparated",0.684402805214477,0.380701720271223,1.79774024852551,0.0722181800622906
"marital_statusSingle ",-0.0355339407070926,0.172628139190346,-0.205840953124749,0.836915150164429
"marital_statusWidowed",0.0321839680701674,0.218176665121036,0.147513337653745,0.882726852968493
"x6th_stageIIB",0.523254043788198,0.143935307935558,3.6353418163559,0.000277612296654822
"x6th_stageIIIA",0.987060245929294,0.141166939930699,6.99214877374163,2.70707583748816e-12
"x6th_stageIIIB",1.57286672021786,0.302078385912493,5.20681648727257,1.92107909508684e-07
"x6th_stageIIIC",2.03889753034576,0.160692750878326,12.6881736680802,6.8770740093776e-37
"grade2",0.532572563052805,0.182992721273871,2.91034834252093,0.00361026130089827
"grade3",0.910529302428608,0.191520703911289,4.75420820743411,1.99225645447501e-06
"grade4",1.87332882257034,0.541854480772927,3.45725446414716,0.000545709286042315
"estrogen_statusPositive",-0.723293302688143,0.175478253575959,-4.12184010239793,3.75858057322131e-05
"progesterone_statusPositive",-0.568095800114952,0.126650142696655,-4.48555199401251,7.27254085948986e-06
"rn_examined_log",-0.298218609386505,0.0800079664559329,-3.72736144407269,0.000193494871856014
"age_log",1.09580506648804,0.293801783196428,3.72974273527609,0.000191675375937183
